"customer_id","store_code","department_name","qty","value"
1,"0","BEVERAGES","5","12.66"
1,"0","GROCERY 3","6","8.65"
1,"1","BAKERY","4","2.79"
1,"1","BEVERAGES","1","2.55"
1,"1","FRUIT & VEGETABLES","2","2.88"
1,"1","GROCERY 1","8","10.79"
1,"1","GROCERY 2","1","0.79"
1,"1","GROCERY 3","4","1.70"
1,"1","PROVISIONS DAIRY","3","1.95"
1,"1","SOFT BEVERAGES","5","3.98"
4,"1","BAKERY","2","2.24"
4,"1","BEVERAGES","1","3.40"
4,"1","DELICATESSEN","3","3.07"
4,"1","FROZEN","1","1.70"
4,"1","FRUIT & VEGETABLES","5","5.47"
4,"1","GROCERY 1","1","0.67"
4,"1","GROCERY 2","3","2.54"
4,"1","GROCERY 3","6","5.07"
4,"1","MEAT & POULTRY","5","7.32"
4,"1","NATIONAL LOTTERY","1","10.00"
4,"1","NEWSPAPERS & MAGAZI","3","1.65"
4,"1","PROVISIONS DAIRY","4","5.25"
4,"1","PROVISIONS PREPARED","2","1.99"
4,"1","SEASONAL","2","2.96"
4,"1","SOFT BEVERAGES","1","0.38"
25,"2","BAKERY","2","1.82"
25,"2","CUISINE DE FRANCE/I","2","1.44"
25,"2","DELICATESSEN","2","1.69"
25,"2","FROZEN","1","2.69"
25,"2","FRUIT & VEGETABLES","8","4.49"
25,"2","GROCERY 1","7","4.48"
25,"2","GROCERY 2","11","10.61"
25,"2","GROCERY 3","8","6.51"
25,"2","MEAT & POULTRY","7","13.74"
25,"2","PROVISIONS DAIRY","3","2.66"
25,"2","PROVISIONS PREPARED","1","0.59"
25,"2","SOFT BEVERAGES","2","1.34"
39,"2","BAKERY","15","9.22"
39,"2","CUISINE DE FRANCE/I","5","3.23"
39,"2","DELICATESSEN","2","7.98"
39,"2","FROZEN","1","2.39"
39,"2","GROCERY 1","10","10.62"
39,"2","GROCERY 2","29","12.72"
39,"2","GROCERY 3","5","7.39"
39,"2","MEAT & POULTRY","6","35.14"
39,"2","MENSWEAR","2","5.09"
39,"2","NEWSPAPERS & MAGAZI","10","6.93"
39,"2","PROVISIONS DAIRY","20","24.26"
39,"2","SOFT BEVERAGES","6","4.61"
41,"1","CONCESSION BAKERY","2","6.80"
